sentence,group,step,stl_formula,label,cosine_sim,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid)) and eventually[10,inf](d_ifnα(t) < 0)",,0.830586,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[11,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.84202,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[11,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.84202,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"eventually[10,inf]globally(il6(t) > c(mid) and d_ifnα(t) < -d_c(low))",1,0.846597,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,filtered,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,consolidated,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,0.846085,,
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,consolidated,"eventually[10,inf]globally(il6(t) > c(mid) and d_ifnα(t) < -d_c(low))",1,0.846597,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,merscov(t) = c(high) and sarscov(t) = c(high),,0.397068,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,merscov(t) > c(high) and sarscov(t) > c(high),,0.412674,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,2](titers(t) = c(high) and merscov(t) = c(high))",,0.435223,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,merscov(t) > c(high),,0.306534,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,2](merscov(t)=c(high) and sarscov(t)=c(high))",,0.49958,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"sarscov2(t) > c(high) and eventually[2,2](merscov(t) > c(high))",,0.525045,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,merscov(t) = c(high) and sarscov(t) = c(high),,0.397068,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,inf](merscov(t) = c(high) and sarscov(t) = c(high))",,0.47317,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"eventually[2,2](merscov(t) = c(high) and sarscov(t) = c(high))",,0.495167,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,inf](merscov(t) > c(high) and sarscov(t) > c(high))",,0.482633,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,inf](merscov(t) = c(high) and sarscov(t) = c(high))",,0.47317,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,filtered,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",0,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,filtered,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",0,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,filtered,"sarscov2(t) > c(high) and eventually[2,2](merscov(t) > c(high))",0,0.525045,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,filtered,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",0,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,consolidated,"globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",0,0.509467,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,consolidated,sarscov2(t) > c(high),0,0.438347,,
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,consolidated,"eventually[2,2](merscov(t) > c(high))",0,0.419428,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low),,0.428367,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) > c(low) and ifnα(t) < c(mid),,0.493938,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) < c(mid) and ifn(t) > c(low),,0.458293,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) > c(low) and ifnα(t) < c(mid),,0.493938,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) > c(low) implies ifn(t) > c(low),,0.643752,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) > c(low) and ifnα(t) < c(mid),,0.493938,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low) and ifn(t) < c(high),,0.478934,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low) and ifn(t) < c(mid),,0.471719,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) > c(low) and ifn(t) < c(mid),,0.658134,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) > c(low) and ifnα(t) < c(high) and ifnβ(t) > c(low) and ifnβ(t) < c(high),,0.413403,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) < c(mid) and ifn(t) > c(low),,0.654729,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low) and ifn(t) < c(mid),,0.471719,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) = c(low) and ifnβ(t) = c(low),,0.491548,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) > c(low) and ifn(t) < c(mid),,0.658134,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) > c(low) and ifnα(t) < c(mid),,0.493938,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low) and ifn(t) < c(mid),,0.471719,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) > c(low) implies ifn(t) < c(mid) and ifn(t) > c(low),,0.638972,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) > c(low) and ifnα(t) < c(mid),,0.493938,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) > c(low) and ifn(t) < c(mid),,0.658134,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t) < c(mid) and ifnα(t) > c(low),,0.493454,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,"globally[0,inf](ifn(t) > c(low) and ifn(t) < c(mid))",,0.297471,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low) and ifn(t) < c(mid),,0.471719,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) < c(mid) and ifn(t) > c(low),,0.654729,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,"globally[0,inf](ifn(t) > c(low))",,0.25517,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifn(t) > c(low) and ifn(t) < c(mid),,0.471719,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,ifnα(t)=c(low) and ifnβ(t)=c(low),,0.491548,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,filtered,cpg2216(t) > c(low) implies ifn(t) > c(low),1,0.643752,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,filtered,cpg2216(t) > c(low) and ifn(t) < c(mid),1,0.658134,,
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,filtered,cpg2216(t) < c(mid) and ifn(t) > c(low),1,0.654729,,
